SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,76,GRR,C,LIAM'S MAP,INDIAN SNOW,A.P. INDY,Q BAR J THOROUGHBREDS LLC (JENN & QUINCY ADAMS) AGENT FOR BLUE CHIP THOROUGHBREDS,NOT SOLD,245000,,03/02/2017,KENTUCKY,D,,,,22.4,https://www.youtube.com/watch?v=gdxqrCpzvAA
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,77,DKB,F,EMPIRE WAY,JOEYSBURG,JOHANNESBURG,HAVENS BLOODSTOCK AGENCY INC. AGENT,PHIL D'AMATO,44000,,03/14/2017,CALIFORNIA,B&C,,,,11,https://www.youtube.com/watch?v=NsO6AFVziFg
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,78,CH,C,STREET BOSS,KISS IS A KISS,BROKEN VOW,TOM MCCROCKLIN AGENT,OUT,0,,04/07/2017,KENTUCKY,D,,,,,
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,79,B,C,MIZZEN MAST,KSCHESSINKA,NUREYEV,BENCHMARK TRAINING CENTER INC. AGENT,OUT,0,,05/04/2017,KENTUCKY,A&B,,,,,
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,80,DKB,F,ALGORITHMS,LA CHICA RICA,DISCO RICO,DYNAMIC SALES PREP AGENT,NOT SOLD,7000,,03/06/2017,FLORIDA,B,,,,G,https://www.youtube.com/watch?v=EFkKAEWiTGM
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,81,B,C,MACLEAN'S MUSIC,LADY MOCHA,TALE OF THE CAT,BENCHMARK TRAINING CENTER INC. AGENT,OUT,0,,03/10/2017,KENTUCKY,A&B,,,,,https://www.youtube.com/watch?v=r68GEfL2TM0
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,82,CH,C,ENGLISH CHANNEL,LA FLAMME,GIANT'S CAUSEWAY,HAVENS BLOODSTOCK AGENCY INC. AGENT,OUT,0,,05/16/2017,KENTUCKY,B&C,,,,,
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,83,GRR,C,DOMINUS,LEADING THE WAY (ARG),BRANCUSI,TOM MCCROCKLIN AGENT,NOT SOLD,42000,,05/09/2017,KENTUCKY,D,,,,11,https://www.youtube.com/watch?v=jOfbZVr759c
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,84,CH,C,GERVINHO,LE CAIRE,COZZENE,TIP THOROUGHBRED INVESTMENT POSSIBILITIES AGENT VIII,LMN3 COMPANY,8000,,03/23/2017,CALIFORNIA,A&B,,,,G,https://www.youtube.com/watch?v=icGKVkoSb2I
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,85,DKB,C,TAKE CHARGE INDY,LIGHTS OUT (AUS),WAY OF LIGHT,CHECKMATE THOROUGHBREDS LLC (ADRIAN GONZALEZ) AGENT,NOT SOLD,15000,,04/30/2017,KENTUCKY,C&D,,,,11.4,https://www.youtube.com/watch?v=wQSZe4hlbIE
